"","date","country","cum_conf_cases"
"141",2015-01-15,"Guinea",2522
"142",2015-01-15,"Liberia",3127
"143",2015-01-15,"Sierra Leone",7802
"144",2015-01-16,"Guinea",2525
"145",2015-01-16,"Liberia",3127
"146",2015-01-16,"Sierra Leone",7825
"147",2015-01-19,"Guinea",2539
"148",2015-01-19,"Sierra Leone",7883
"149",2015-01-19,"Liberia",3131
"150",2015-01-20,"Guinea",2539
"151",2015-01-20,"Sierra Leone",7903
"152",2015-01-20,"Liberia",3135
"153",2015-01-21,"Guinea",2539
"154",2015-01-21,"Liberia",3135
"155",2015-01-21,"Sierra Leone",7903
"156",2015-01-22,"Liberia",3136
"157",2015-01-22,"Guinea",2542
"158",2015-01-22,"Sierra Leone",7909
"159",2015-01-23,"Liberia",3136
"160",2015-01-23,"Sierra Leone",7921
"161",2015-01-23,"Guinea",2545
"162",2015-01-26,"Guinea",2559
"163",2015-01-26,"Sierra Leone",7963
"164",2015-01-26,"Liberia",3136
"165",2015-01-27,"Liberia",3138
"166",2015-01-27,"Guinea",2569
"167",2015-01-27,"Sierra Leone",7968
"168",2015-01-28,"Sierra Leone",7968
"169",2015-01-28,"Guinea",2569
"170",2015-01-28,"Liberia",3138
"171",2015-01-29,"Guinea",2571
"172",2015-01-29,"Liberia",3138
"173",2015-01-29,"Sierra Leone",7977
"174",2015-01-30,"Guinea",2575
"175",2015-01-30,"Liberia",3138
"176",2015-01-30,"Sierra Leone",7989
"177",2015-02-02,"Guinea",2593
"178",2015-02-02,"Liberia",3138
"179",2015-02-02,"Sierra Leone",8042
"180",2015-02-03,"Guinea",2608
"181",2015-02-03,"Liberia",3143
"182",2015-02-03,"Sierra Leone",8059
"183",2015-02-04,"Guinea",2608
"184",2015-02-04,"Liberia",3143
"185",2015-02-04,"Sierra Leone",8059
"186",2015-02-05,"Guinea",2621
"187",2015-02-05,"Liberia",3143
"188",2015-02-05,"Sierra Leone",8063
"189",2015-02-06,"Guinea",2628
"190",2015-02-06,"Liberia",3143
"191",2015-02-06,"Sierra Leone",8084
"192",2015-02-10,"Guinea",2674
"193",2015-02-10,"Liberia",3146
"194",2015-02-10,"Sierra Leone",8135
"195",2015-02-11,"Guinea",2674
"196",2015-02-11,"Sierra Leone",8135
"197",2015-02-11,"Liberia",3146
"198",2015-02-12,"Guinea",2685
"199",2015-02-12,"Liberia",3146
"200",2015-02-12,"Sierra Leone",8138
"201",2015-02-13,"Guinea",2693
"202",2015-02-13,"Liberia",3147
"203",2015-02-13,"Sierra Leone",8155
"204",2015-02-16,"Guinea",2720
"205",2015-02-16,"Liberia",3149
"206",2015-02-16,"Sierra Leone",8199
"207",2015-02-17,"Guinea",2727
"208",2015-02-17,"Liberia",3149
"209",2015-02-17,"Sierra Leone",8212
"210",2015-02-18,"Guinea",2727
"211",2015-02-18,"Sierra Leone",8212
"212",2015-02-18,"Liberia",3149
"213",2015-02-19,"Guinea",2732
"214",2015-02-19,"Liberia",3152
"215",2015-02-19,"Sierra Leone",8223
"216",2015-02-20,"Guinea",2734
"217",2015-02-20,"Liberia",3152
"218",2015-02-20,"Sierra Leone",8223
"219",2015-02-23,"Guinea",2758
"220",2015-02-23,"Liberia",3153
"221",2015-02-23,"Sierra Leone",8223
"222",2015-02-25,"Guinea",2762
"223",2015-02-25,"Liberia",3153
"224",2015-02-25,"Sierra Leone",8289
"225",2015-02-26,"Guinea",2781
"226",2015-02-26,"Liberia",3153
"227",2015-02-26,"Sierra Leone",8308
"228",2015-02-27,"Guinea",2790
"229",2015-02-27,"Liberia",3153
"230",2015-02-27,"Sierra Leone",8320
"231",2015-03-02,"Guinea",2808
"232",2015-03-02,"Liberia",3153
"233",2015-03-02,"Sierra Leone",8353
"234",2015-03-04,"Guinea",2808
"235",2015-03-04,"Liberia",3153
"236",2015-03-04,"Sierra Leone",8353
"237",2015-03-05,"Guinea",2833
"238",2015-03-05,"Liberia",3150
"239",2015-03-05,"Sierra Leone",8383
"240",2015-03-06,"Guinea",2840
"241",2015-03-06,"Liberia",3150
"242",2015-03-06,"Sierra Leone",8389
"243",2015-03-10,"Guinea",2871
"244",2015-03-10,"Liberia",3150
"245",2015-03-10,"Sierra Leone",8428
"246",2015-03-11,"Sierra Leone",8428
"247",2015-03-11,"Guinea",2871
"248",2015-03-11,"Liberia",3150
"249",2015-03-12,"Guinea",2901
"250",2015-03-12,"Liberia",3150
"251",2015-03-12,"Sierra Leone",8463
"252",2015-03-13,"Guinea",2911
"253",2015-03-13,"Liberia",3150
"254",2015-03-13,"Sierra Leone",8469
"255",2015-03-16,"Guinea",2957
"256",2015-03-16,"Liberia",3150
"257",2015-03-16,"Sierra Leone",8484
"258",2015-03-17,"Guinea",2966
"259",2015-03-17,"Liberia",3150
"260",2015-03-17,"Sierra Leone",8487
"261",2015-03-18,"Guinea",2966
"262",2015-03-18,"Liberia",3150
"263",2015-03-18,"Sierra Leone",8487
"264",2015-03-20,"Guinea",2988
"265",2015-03-20,"Liberia",3150
"266",2015-03-20,"Sierra Leone",8508
"267",2015-03-23,"Guinea",3007
"268",2015-03-23,"Liberia",3151
"269",2015-03-23,"Sierra Leone",8518
"270",2015-03-24,"Guinea",3011
"271",2015-03-24,"Liberia",3151
"272",2015-03-24,"Sierra Leone",8520
"273",2015-03-25,"Guinea",3011
"274",2015-03-25,"Sierra Leone",8520
"275",2015-03-25,"Liberia",3151
"276",2015-03-26,"Liberia",3151
"277",2015-03-26,"Guinea",3032
"278",2015-03-26,"Sierra Leone",8529
"279",2015-03-27,"Sierra Leone",8532
"280",2015-03-27,"Liberia",3151
"281",2015-03-27,"Guinea",3042
